name,originalPrice,discount,finalPrice,linkForBuying,date,time
Medieval Dynasty,$34.99,-20%,$27.99,https://store.steampowered.com/app/1129580/Medieval_Dynasty/,29/9/2021,17:10:47
UnMetal,$19.99,-20%,$15.99,https://store.steampowered.com/app/1203710/UnMetal/,29/9/2021,17:10:47
In Sound Mind,$34.99,-15%,$29.74,https://store.steampowered.com/app/1119980/In_Sound_Mind/,29/9/2021,17:10:47
OUTRIDERS,$59.99,-50%,$29.99,https://store.steampowered.com/app/680420/OUTRIDERS/,29/9/2021,17:10:47
Steel Assault,$14.99,-10%,$13.49,https://store.steampowered.com/app/1280300/Steel_Assault/,29/9/2021,17:10:47
Them and Us,$39.99,-10%,$35.99,https://store.steampowered.com/app/915600/Them_and_Us/,29/9/2021,17:10:47
Evil Genius 2: World Domination,$39.99,-40%,$23.99,https://store.steampowered.com/app/700600/Evil_Genius_2_World_Domination/,29/9/2021,17:10:47
Days Gone,$49.99,-20%,$39.99,https://store.steampowered.com/app/1259420/Days_Gone/,29/9/2021,17:10:47
Happy Guy,$2.99,-30%,$2.09,https://store.steampowered.com/app/1611300/Happy_Guy/,29/9/2021,17:10:47
Omno,$18.99,-20%,$15.19,https://store.steampowered.com/app/969760/Omno/,29/9/2021,17:10:47
Skeletal Avenger,$16.99,-25%,$12.74,https://store.steampowered.com/app/1277500/Skeletal_Avenger/,29/9/2021,17:10:47
Sheltered 2,$19.99,-10%,$17.99,https://store.steampowered.com/app/1289380/Sheltered_2/,29/9/2021,17:10:47
Concordia: Digital Edition,$18.99,-12%,$16.71,https://store.steampowered.com/app/1450330/Concordia_Digital_Edition/,29/9/2021,17:10:47
The Fermi Paradox,$18.99,-20%,$15.19,https://store.steampowered.com/app/1543150/The_Fermi_Paradox/,29/9/2021,17:10:47
AWAY: The Survival Series,$29.99,-10%,$26.99,https://store.steampowered.com/app/750200/AWAY_The_Survival_Series/,29/9/2021,17:10:47
Fall Guys: Ultimate Knockout,,,$19.99,https://store.steampowered.com/app/1097150/Fall_Guys_Ultimate_Knockout/,29/9/2021,17:10:47
Outer Wilds - Echoes of the Eye,$14.99,-10%,$13.49,https://store.steampowered.com/app/1622100/Outer_Wilds__Echoes_of_the_Eye/,29/9/2021,17:10:47
Outer Wilds,$24.99,-40%,$14.99,https://store.steampowered.com/app/753640/Outer_Wilds/,29/9/2021,17:10:47
Need for Speed™ Heat,$69.99,-86%,$9.79,https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/,29/9/2021,17:10:47
METAL GEAR SOLID V: The Definitive Experience,$29.99,-75%,$7.49,https://store.steampowered.com/sub/132479/,29/9/2021,17:10:47
Medieval Dynasty,$34.99,-20%,$27.99,https://store.steampowered.com/app/1129580/Medieval_Dynasty/,29/9/2021,17:10:47
ASTRONEER,$29.99,-35%,$19.49,https://store.steampowered.com/app/361420/ASTRONEER/,29/9/2021,17:10:47
Sniper Elite 4,$59.99,-85%,$8.99,https://store.steampowered.com/app/312660/Sniper_Elite_4/,29/9/2021,17:10:47
Total War: WARHAMMER II,$59.99,-66%,$20.39,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/,29/9/2021,17:10:47
The Binding of Isaac: Rebirth,$14.99,-50%,$7.49,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/,29/9/2021,17:10:47
Spelunky 2,$19.99,-35%,$12.99,https://store.steampowered.com/app/418530/Spelunky_2/,29/9/2021,17:10:47
Nioh 2 – The Complete Edition,$49.99,-20%,$39.99,https://store.steampowered.com/app/1325200/Nioh_2__The_Complete_Edition/,29/9/2021,17:10:47
DEVOUR,$4.99,-20%,$3.99,https://store.steampowered.com/app/1274570/DEVOUR/,29/9/2021,17:10:47
UnMetal,$19.99,-20%,$15.99,https://store.steampowered.com/app/1203710/UnMetal/,29/9/2021,17:10:47
OUTRIDERS,$59.99,-50%,$29.99,https://store.steampowered.com/app/680420/OUTRIDERS/,29/9/2021,17:10:47
Total War: WARHAMMER II,$59.99,-66%,$20.39,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/,29/9/2021,17:10:47
Monster Hunter: World,$29.99,-34%,$19.79,https://store.steampowered.com/app/582010/Monster_Hunter_World/,29/9/2021,17:10:47
Fall Guys: Ultimate Knockout,,,$19.99,https://store.steampowered.com/app/1097150/Fall_Guys_Ultimate_Knockout/,29/9/2021,17:10:47
The Binding of Isaac: Rebirth,$14.99,-50%,$7.49,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/,29/9/2021,17:10:47
eFootball PES 2021 SEASON UPDATE,$29.99,-80%,$5.99,https://store.steampowered.com/app/1259970/eFootball_PES_2021_SEASON_UPDATE/,29/9/2021,17:10:47
Medieval Dynasty,$34.99,-20%,$27.99,https://store.steampowered.com/app/1129580/Medieval_Dynasty/,29/9/2021,17:10:47
Need for Speed™ Heat,$69.99,-86%,$9.79,https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/,29/9/2021,17:10:47
Company of Heroes Franchise Edition,$69.99,-80%,$13.99,https://store.steampowered.com/sub/52874/,29/9/2021,17:10:47
Company of Heroes 2,$19.99,-75%,$4.99,https://store.steampowered.com/sub/28773/,29/9/2021,17:10:47
Outer Wilds,$24.99,-40%,$14.99,https://store.steampowered.com/app/753640/Outer_Wilds/,29/9/2021,17:10:47
Total War: THREE KINGDOMS,$59.99,-40%,$35.99,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/,29/9/2021,17:10:47
Total War™: ROME II - Emperor Edition,$59.99,-75%,$14.99,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/,29/9/2021,17:10:47
Dyson Sphere Program,$19.99,-10%,$17.99,https://store.steampowered.com/app/1366540/Dyson_Sphere_Program/,29/9/2021,17:10:47
TEKKEN 7,$39.99,-85%,$5.99,https://store.steampowered.com/app/389730/TEKKEN_7/,29/9/2021,17:10:47
The Jackbox Party Pack 8,$29.99,-10%,$26.99,https://store.steampowered.com/app/1552350/The_Jackbox_Party_Pack_8/,29/9/2021,17:10:47
Inscryption,$19.99,-10%,$17.99,https://store.steampowered.com/app/1092790/Inscryption/,29/9/2021,17:10:47
Disciples: Liberation,$39.99,-10%,$35.99,https://store.steampowered.com/app/1287840/Disciples_Liberation/,29/9/2021,17:10:47
Football Manager 2022,$54.99,-10%,$49.49,https://store.steampowered.com/app/1569040/Football_Manager_2022/,29/9/2021,17:10:47
ICARUS,$29.99,-10%,$26.99,https://store.steampowered.com/app/1149460/ICARUS/,29/9/2021,17:10:47
Farming Simulator 22 - Year 1 Season Pass,$39.99,-5%,$37.99,https://store.steampowered.com/app/1731910/Farming_Simulator_22__Year_1_Season_Pass/,29/9/2021,17:10:47
